"Country","City","AQI.Value","CO.AQI.Value","Ozone.AQI.Value","NO2.AQI.Value","PM2.5.AQI.Value","Latitude","Longitude"
"Brazil","Cacador",59,1,17,0,59,-26.7737784,-51.0134844
"Peru","Cajamarca",44,1,3,2,44,-7.1566682,-78.517306
"United States of America","Athens",69,2,36,6,69,33.9597677,-83.376398
"Brazil","Atibaia",150,4,5,12,150,-23.1177393,-46.5547861
"Mexico","Atlacomulco",83,1,21,3,83,19.7994122,-99.8735622
"France","Aulnay Sous Bois",68,1,21,5,68,48.934231,2.499789
"Germany","Bad Camberg",68,1,35,3,68,50.305569,8.280525
"Spain","Badajoz",37,1,37,1,10,38.878187,-6.9701115
"Cameroon","Bafia",77,3,16,0,77,4.7399331,11.2205928
"Spain","Tafalla",38,1,38,0,9,42.5278279,-1.6744823
"Egypt","Talkha",78,1,78,2,64,31.0522251,31.3731608
"India","Talwara",158,4,35,9,158,23.565324,74.3230521
"Hungary","Tapolca",64,1,64,0,56,46.8820972,17.4389619
"Philippines","Tarlac",154,2,25,7,154,15.4861218,120.5893473
"Poland","Tarnobrzeg",54,1,45,0,54,50.5729327,21.6791667
"Argentina","Tartagal",18,0,18,0,5,-22.5194493,-63.7986328
"Brazil","Taubate",50,1,22,0,50,-23.031448,-45.5612792
"United Republic of Tanzania","Uyovu",26,1,23,0,26,-3.3333419,31.5229446
"Russian Federation","Vasilyevo",38,1,36,1,38,55.8372875,48.6792331
"Romania","Vatra Dornei",47,0,40,0,47,47.3469264,25.3557638
"Brazil","Vera Cruz",25,0,20,0,25,-22.2212638,-49.8243021
"Russian Federation","Verkhnyaya Pyshma",41,1,41,2,22,56.9724682,60.5738926
"Thailand","Surin",85,2,18,4,85,14.8832452,103.4906845
"Libya","Surman",83,1,49,2,83,32.4736086,12.3696011
"Cambodia","Ta Khmau",73,1,7,5,73,11.4687395,104.9451162
"India","Singarayakonda",89,2,40,2,89,15.2507433,80.0212811
"Hungary","Dorog",76,1,36,2,76,47.7223782,18.731435
"United States of America","Downey",117,4,4,39,117,33.9404441,-118.1292846
"Canada","Drummondville",55,2,7,7,55,45.8864303,-72.5018764
"India","Dugda",152,3,123,1,152,23.7451553,86.1717474
"South Africa","Duiwelskloof",63,3,26,1,63,-23.69194,30.14055
"Slovakia","Dunajska Streda",70,1,33,2,70,47.9956165,17.6162934
"United States of America","East Haven",85,3,9,33,85,41.2762081,-72.8684337
"United States of America","Eastlake",39,1,39,4,25,41.6490337,-81.4378991
"Eritrea","Edd",163,1,41,0,163,13.930794,41.690461
"United States of America","Eden Prairie",52,1,42,3,52,44.8546856,-93.470786
"Germany","Eichenau",49,1,42,2,49,48.17256,11.3223214
"Netherlands","Eindhoven",30,1,30,2,30,51.4392648,5.478633
"South Africa","Ekuvukeni",58,1,19,1,58,NA,NA
